cause_id,type_id,year_id,source_id,total_deaths,data_redundancy
1,1,1,1,0,1
2,2,2,2,47,1
2,2,3,2,99,1
2,2,4,2,100,1
2,2,5,2,261,5
2,2,5,3,261,5
2,2,5,4,261,5
2,2,5,5,261,5
2,2,5,6,261,5
2,2,6,2,361,5
2,2,6,3,361,5
2,2,6,4,361,5
2,2,6,5,361,5
2,2,6,6,361,5
2,2,7,7,592,6
2,2,7,3,592,6
2,2,7,4,592,6
2,2,7,5,592,6
2,2,7,6,592,6
2,2,7,8,509,6
2,2,8,9,539,6
2,2,8,3,539,6
2,2,8,4,539,6
2,2,8,5,539,6
2,2,8,6,539,6
2,2,8,8,635,6
2,2,9,3,498,5
2,2,9,4,498,5
2,2,9,5,498,5
2,2,9,6,498,5
2,2,9,8,788,5
2,2,10,4,993,4
2,2,10,5,993,4
2,2,10,6,993,4
2,2,10,8,711,4
2,2,11,5,484,3
2,2,11,6,484,3
2,2,11,8,331,3
2,2,12,6,693,2
2,2,12,8,979,2
2,2,13,8,597,1
2,2,14,10,614,1
2,2,15,11,665,1
2,2,16,12,688,1
3,3,17,13,0,1
3,3,18,14,13,1
3,3,19,15,0,1
3,3,20,16,18,1
3,3,14,10,3,1
3,3,15,11,4,1
3,3,16,12,4,1
4,1,10,4,3,1
5,1,10,4,13,1
5,1,17,13,37,1
5,1,18,14,20,1
5,1,19,15,0,1
5,1,20,16,10,1
5,1,14,10,4,1
5,1,15,11,12,1
5,1,16,12,4,1
6,1,12,6,10,1
6,1,13,8,4,1
6,1,1,1,23,1
7,1,11,5,4,1
8,1,7,7,0,1
9,1,8,9,9,1
9,1,9,3,10,1
10,2,2,2,0,1
10,2,3,2,2,1
10,2,4,2,8,2
10,2,4,4,8,2
10,2,5,2,2,2
10,2,5,4,2,2
10,2,6,2,8,2
10,2,6,4,8,2
10,2,7,4,1,2
10,2,7,6,1,2
10,2,8,9,1,3
10,2,8,4,1,3
10,2,8,6,1,3
10,2,9,3,5,3
10,2,9,4,5,3
10,2,9,6,5,3
10,2,10,4,0,5
10,2,10,6,0,5
10,2,10,17,0,5
10,2,10,18,0,5
10,2,10,13,0,5
10,2,11,5,2,7
10,2,11,6,2,7
10,2,11,8,2,7
10,2,11,17,2,7
10,2,11,18,2,7
10,2,11,13,2,7
10,2,11,14,2,7
10,2,12,6,1,7
10,2,12,8,1,7
10,2,12,1,1,7
10,2,12,17,1,7
10,2,12,18,1,7
10,2,12,13,1,7
10,2,12,14,1,7
10,2,13,8,0,9
10,2,13,1,0,9
10,2,13,17,1,9
10,2,13,17,1,9
10,2,13,18,1,9
10,2,13,13,0,9
10,2,13,14,0,9
10,2,13,15,0,9
10,2,13,16,0,9
10,2,1,1,0,8
10,2,1,17,0,8
10,2,1,17,0,8
10,2,1,18,0,8
10,2,1,13,0,8
10,2,1,14,0,8
10,2,1,15,0,8
10,2,1,16,0,8
10,2,21,17,1,7
10,2,21,17,1,7
10,2,21,18,1,7
10,2,21,13,1,7
10,2,21,14,1,7
10,2,21,15,1,7
10,2,21,16,1,7
10,2,22,18,0,5
10,2,22,13,3,5
10,2,22,14,3,5
10,2,22,15,3,5
10,2,22,16,3,5
10,2,17,13,0,4
10,2,17,14,0,4
10,2,17,15,0,4
10,2,17,16,0,4
10,2,18,14,0,3
10,2,18,15,0,3
10,2,18,16,0,3
10,2,19,15,1,2
10,2,19,16,1,2
10,2,20,16,0,1
11,2,5,4,0,2
11,2,5,8,0,2
11,2,6,4,0,2
11,2,6,8,0,2
11,2,7,9,13,12
11,2,7,3,13,12
11,2,7,4,13,12
11,2,7,5,13,12
11,2,7,6,13,12
11,2,7,8,13,12
11,2,7,17,13,12
11,2,7,18,13,12
11,2,7,13,13,12
11,2,7,14,13,12
11,2,7,15,13,12
11,2,7,16,13,12
11,2,8,9,45,12
11,2,8,3,45,12
11,2,8,4,45,12
11,2,8,5,45,12
11,2,8,6,45,12
11,2,8,8,45,12
11,2,8,17,45,12
11,2,8,18,45,12
11,2,8,13,45,12
11,2,8,14,45,12
11,2,8,15,45,12
11,2,8,16,45,12
11,2,9,3,37,11
11,2,9,4,37,11
11,2,9,5,37,11
11,2,9,6,37,11
11,2,9,8,37,11
11,2,9,17,37,11
11,2,9,18,37,11
11,2,9,13,37,11
11,2,9,14,37,11
11,2,9,15,37,11
11,2,9,16,37,11
11,2,10,4,20,10
11,2,10,5,20,10
11,2,10,6,20,10
11,2,10,8,20,10
11,2,10,17,20,10
11,2,10,18,20,10
11,2,10,13,20,10
11,2,10,14,20,10
11,2,10,15,20,10
11,2,10,16,20,10
11,2,11,5,19,9
11,2,11,6,19,9
11,2,11,8,19,9
11,2,11,17,19,9
11,2,11,18,19,9
11,2,11,13,19,9
11,2,11,14,7,9
11,2,11,15,19,9
11,2,11,16,19,9
11,2,12,6,7,8
11,2,12,8,7,8
11,2,12,17,7,8
11,2,12,18,7,8
11,2,12,13,7,8
11,2,12,14,10,8
11,2,12,15,7,8
11,2,12,16,7,8
11,2,13,8,10,7
11,2,13,17,10,7
11,2,13,18,10,7
11,2,13,13,10,7
11,2,13,14,9,7
11,2,13,15,10,7
11,2,13,16,10,7
11,2,1,1,9,7
11,2,1,17,9,7
11,2,1,18,9,7
11,2,1,13,9,7
11,2,1,14,3,7
11,2,1,15,9,7
11,2,1,16,9,7
11,2,21,17,3,6
11,2,21,18,3,6
11,2,21,13,3,6
11,2,21,14,3,6
11,2,21,15,3,6
11,2,21,16,3,6
11,2,22,18,2,5
11,2,22,13,2,5
11,2,22,14,2,5
11,2,22,15,2,5
11,2,22,16,2,5
11,2,17,13,2,4
11,2,17,14,2,4
11,2,17,15,2,4
11,2,17,16,2,4
11,2,18,14,0,3
11,2,18,15,0,3
11,2,18,16,0,3
11,2,19,15,1,2
11,2,19,16,1,2
11,2,20,16,0,1
12,1,7,7,2,1
12,1,8,9,108,1
12,1,9,3,140,1
12,1,10,4,58,1
12,1,11,5,30,1
12,1,12,6,33,1
12,1,13,8,14,1
12,1,1,1,9,1
12,1,17,13,35,1
12,1,18,14,42,1
12,1,19,15,6,1
12,1,20,16,26,1
12,1,14,10,43,1
12,1,15,11,88,1
12,1,16,12,124,1
13,1,7,7,0,1
13,1,8,9,251,1
13,1,9,3,0,1
13,1,10,4,42,1
13,1,11,5,127,1
13,1,12,6,215,1
13,1,13,8,55,1
13,1,1,1,38,1
13,1,17,13,20,1
13,1,18,14,81,1
13,1,19,15,23,1
13,1,20,16,18,1
13,1,14,10,109,1
13,1,15,11,49,1
13,1,16,12,120,1
14,1,1,1,0,1
15,1,9,3,2,1
15,1,1,1,0,1
16,1,9,3,265,1
16,1,13,8,3,1
16,1,1,1,20,1
16,1,17,13,2,1
16,1,18,14,11,1
16,1,19,15,49,1
16,1,20,16,43,1
16,1,14,10,98,1
16,1,15,11,67,1
16,1,16,12,106,1
17,1,10,4,17,1
17,1,11,5,4,1
17,1,12,6,19,1
18,1,11,5,0,1
18,1,13,8,6,1
18,1,1,1,6,1
19,2,6,2,4,1
19,2,8,9,1,1
20,3,8,9,1,1
21,2,8,9,9,1
21,2,10,4,1,1
21,2,12,6,7,1
21,2,13,8,9,1
21,2,1,1,4,1
21,2,21,17,2,1
21,2,22,18,8,1
21,2,17,13,1,1
21,2,19,15,1,1
21,2,20,16,0,1
22,2,6,2,2554,1
22,2,7,7,3021,1
22,2,8,9,2519,2
22,2,8,3,2519,2
22,2,12,6,1025,2
22,2,12,8,1025,2
23,2,6,2,23,1
23,2,7,7,51,1
23,2,8,9,57,1
24,2,12,6,605,2
24,2,12,8,605,2
25,2,7,7,5331,1
25,2,8,9,4770,2
25,2,8,3,4770,2
25,2,9,4,5945,1
25,2,10,4,5767,2
25,2,10,4,5767,2
26,2,8,9,0,1
27,2,15,19,22138,1
27,2,16,20,121956,1
27,2,23,20,12876,1
28,2,8,9,68,4
28,2,8,9,2223,4
28,2,8,3,2223,4
28,2,8,6,1196,4
28,2,9,3,1599,3
28,2,9,5,1599,3
28,2,9,6,1599,3
28,2,10,5,1187,2
28,2,10,6,1187,2
28,2,11,5,898,3
28,2,11,5,1420,3
28,2,11,6,1420,3
28,2,12,6,325,3
28,2,12,6,1358,3
28,2,12,8,325,3
28,2,13,8,597,1
28,2,1,1,816,1
28,2,21,17,871,1
28,2,22,18,907,1
28,2,17,13,1071,1
28,2,18,14,1598,1
28,2,19,15,493,1
28,2,20,16,467,1
28,2,14,10,919,1
28,2,15,11,747,1
28,2,16,12,705,2
28,2,16,12,705,2
29,2,6,2,2619,1
29,2,11,5,1013,1
29,2,12,6,274,2
29,2,12,8,274,2
30,2,11,5,462,1
31,2,7,7,2086,1
31,2,8,9,2384,2
31,2,8,3,2384,2
32,2,4,9,94,1
32,2,5,9,128,1
32,2,6,9,53,1
32,2,8,9,49,2
32,2,8,9,277,2
33,2,6,2,3941,1
33,2,8,9,2716,2
33,2,8,3,2716,2
33,2,11,5,1747,1
33,2,12,6,1289,2
33,2,12,8,1289,2
34,2,7,7,1,1
34,2,8,9,1,1
34,2,9,3,11,1
34,2,12,6,24,1
34,2,13,8,38,1
34,2,1,1,76,1
34,2,21,17,39,1
34,2,22,18,16,1
34,2,17,13,5,1
34,2,18,14,24,1
34,2,19,15,44,1
34,2,20,16,29,1
34,2,14,10,23,1
34,2,15,11,13,1
34,2,16,12,25,2
34,2,16,12,25,2
35,2,11,5,520,1
35,2,12,6,166,2
35,2,12,8,166,2
36,2,6,2,145,1
36,2,7,7,197,1
36,2,8,9,166,1
37,1,1,1,0,1
38,2,7,7,796,1
38,2,8,9,925,2
38,2,8,3,925,2
38,2,10,4,1627,1
39,2,7,7,3047,1
39,2,8,9,2521,2
39,2,8,3,2521,2
40,2,17,13,23,1
40,2,18,14,20,1
40,2,19,15,0,1
40,2,20,16,5,1
40,2,14,10,1,1
40,2,15,11,1,1
40,2,16,12,7,1
41,2,7,7,164,1
41,2,8,9,227,2
41,2,8,3,227,2
41,2,10,4,204,1
42,2,6,2,548,1
42,2,7,7,724,1
42,2,8,9,662,1
43,2,11,5,235,1
44,2,7,7,3264,1
44,2,8,9,3296,2
44,2,8,3,3296,2
44,2,9,4,3967,1
44,2,10,4,4238,2
44,2,10,4,4238,2
45,1,1,1,3,1
46,1,1,1,1,1
47,1,10,4,5,1
47,1,11,5,0,1
47,1,12,6,0,1
47,1,13,8,0,1
48,1,18,14,4,1
48,1,19,15,0,1
48,1,20,16,0,1
48,1,14,10,0,1
48,1,15,11,0,1
48,1,16,12,7,1
49,1,12,6,509,1
50,1,7,7,1801,1
50,1,8,9,6469,1
50,1,9,3,99,1
50,1,10,4,14,1
50,1,11,5,1209,1
50,1,12,6,7,1
50,1,13,8,1,1
50,1,1,1,13,1
50,1,17,13,2,1
50,1,18,14,107,1
50,1,19,15,4,1
50,1,20,16,573,1
50,1,14,10,64,1
50,1,15,11,0,1
50,1,16,12,121,1
51,1,18,14,0,1
51,1,19,15,0,1
51,1,20,16,2615,1
51,1,14,10,0,1
51,1,15,11,0,1
51,1,16,12,0,1
52,2,7,7,293,1
53,2,20,16,0,1
54,2,7,7,5,1
54,2,8,9,7,1
55,2,6,2,7,1
55,2,7,7,8,1
55,2,8,9,5,1
56,2,11,5,935,1
56,2,12,6,955,2
56,2,12,8,955,2
57,2,6,2,1297,1
57,2,7,7,1876,1
57,2,8,9,1792,1
58,2,6,2,137,1
58,2,7,7,138,1
58,2,8,9,117,1
59,2,6,2,5532,1
59,2,11,5,162,1
59,2,12,6,589,2
59,2,12,8,589,2
60,2,6,2,362,1
60,2,7,7,461,1
60,2,8,9,548,1
61,2,7,7,0,1
61,2,11,5,2,1
61,2,12,6,29,1
61,2,1,1,88,1
61,2,17,13,62,1
61,2,18,14,42,1
61,2,19,15,1,1
61,2,20,16,15,1
61,2,14,10,3,1
61,2,15,11,6,1
61,2,16,12,42,1
62,2,13,8,6,1
63,1,17,13,22,1
63,1,18,14,0,1
63,1,19,15,0,1
63,1,14,10,0,1
63,2,15,11,0,1
63,2,16,12,0,1
64,2,10,4,11,1
64,2,11,5,33,1
64,2,12,6,8,1
64,2,13,8,0,1
64,2,17,13,0,1
64,2,18,14,1,1
64,2,19,15,0,1
64,2,20,16,22,1
64,2,14,10,0,1
64,2,15,11,0,1
64,2,16,12,1,1
65,2,8,9,1784,1
65,2,9,3,1883,1
66,2,6,2,11204,1
66,2,7,7,0,1
66,2,11,5,18448,1
66,2,12,8,29952,1
67,2,8,9,129,1
67,2,9,3,65,1
67,2,13,8,324,1
67,2,1,1,314,1
67,2,17,13,475,1
67,2,18,14,252,1
67,2,19,15,14,1
67,2,20,16,246,1
68,2,14,10,69,1
68,2,15,11,8,1
68,2,16,12,35,1
69,2,14,10,34,1
69,2,15,11,0,1
69,2,16,12,134,1
70,2,10,4,3,1
70,2,11,5,6,1
70,2,13,8,25,1
70,2,1,1,4,1
71,2,12,6,5,1
72,2,6,2,499,1
72,2,7,7,95,1
72,2,8,9,205,1
73,2,7,7,857,1
73,2,8,9,1318,2
73,2,8,3,1318,2
73,2,10,4,1807,1
74,2,17,13,7,1
74,2,18,14,34,1
74,2,19,15,12,1
74,2,20,16,45,1
74,2,14,10,10,1
74,2,15,11,2,1
74,2,16,12,6,1
75,2,17,13,66,1
75,2,18,14,0,1
75,2,19,15,2,1
75,2,20,16,82,1
75,2,14,10,8,1
75,2,15,11,30,1
75,2,16,12,0,1
76,1,17,13,0,1
76,1,18,14,0,1
76,1,19,15,0,1
76,1,14,10,0,1
76,1,15,11,0,1
76,1,16,12,0,1
77,2,12,6,4,1
78,2,3,7,23,1
78,2,4,7,27,1
78,2,5,7,6,1
78,2,6,7,22,1
78,2,7,7,0,1
78,2,8,9,0,2
78,2,8,9,21,2
79,2,1,1,22,1
80,2,9,3,10,1
